review,rating,date,bank,source,sentiment_label,sentiment_score,cleaned_review,identified_theme
very interesting and easy access,5,2025-05-24 12:58:01,Chase,Google Play Store,POSITIVE,0.9998551607131958,interesting easy access,Other
easy to use. Great app.,5,2025-05-24 12:50:13,Chase,Google Play Store,POSITIVE,0.999787986278534,easy use great app,Other
Excellent service! Solid app UI.,5,2025-05-24 11:25:14,Chase,Google Play Store,POSITIVE,0.9998420476913452,excellent service solid app ui,User Experience
it is ok,5,2025-05-24 11:15:59,Chase,Google Play Store,POSITIVE,0.9998496770858764,ok,Other
"cant log in. says username or password is incorrect, even though I have them written down. tried to change them and put in my info and it just says ""we cannot connect to chase"" it's been weeks now",1,2025-05-24 10:14:07,Chase,Google Play Store,NEGATIVE,0.9996997117996216,not log say username password incorrect write try change info say connect chase week,Account Access
"All of a sudden, I'm unable to lock & and unlock my card from the app. I called customer service. They suggested I uninstall the app & reinstall. I did that. still no luck.",3,2025-05-24 09:12:38,Chase,Google Play Store,NEGATIVE,0.9994997978210448,sudden unable lock unlock card app call customer service suggest uninstall app reinstall luck,Customer Support
easy to use and very convenient,5,2025-05-24 08:45:58,Chase,Google Play Store,POSITIVE,0.9994778037071228,easy use convenient,Other
"05/24/25 - It's been a couple of years since I last reviewed and the app has at least improved enough for me to raise my rating. However, it's still not five star because the latest update now displays a ""not connected to network alert"" when I wouldn't be able to log in with the app if I wasn't connected to a network. I clear the message and everything else functions fine.",4,2025-05-24 07:30:26,Chase,Google Play Store,NEGATIVE,0.9355514645576476,couple year review app improve raise rating star late update display connect network alert able log app connect network clear message function fine,Other
Timely and efficient,5,2025-05-24 07:04:45,Chase,Google Play Store,POSITIVE,0.9998539686203004,timely efficient,Other
Excellent experience 👏,5,2025-05-24 05:02:38,Chase,Google Play Store,POSITIVE,0.9998319149017334,excellent experience,Other
The Best BANK..,5,2025-05-23 22:43:42,Chase,Google Play Store,POSITIVE,0.9998681545257568,good bank,Other
good,4,2025-05-23 21:06:52,Chase,Google Play Store,POSITIVE,0.999816119670868,good,Other
"App isn't working and there's no way to let them know, you can call the number in the app but they'll say they can't help.",1,2025-05-23 19:48:58,Chase,Google Play Store,NEGATIVE,0.999237298965454,app work way let know number app help,Other
Low interest rates and easy to use app.,5,2025-05-23 17:11:37,Chase,Google Play Store,NEGATIVE,0.9976486563682556,low interest rate easy use app,Other
comes in clutch and is very useful well designed for mobile users,5,2025-05-23 16:43:59,Chase,Google Play Store,POSITIVE,0.9987372756004332,come clutch useful design mobile user,User Experience
Worst customer service. Tasks requires being repeated and having to call customer service multiple times for the same unresolved issue.,1,2025-05-23 16:34:03,Chase,Google Play Store,NEGATIVE,0.9998036026954652,bad customer service task require repeat have customer service multiple time unresolved issue,"Customer Support, User Experience"
is it an a certain amount of times you can use the lock and unlock option? everything else work but not that feature. I would give it a 5 but until that is fix then im leaving it at 3. I used it because no matter how many new cards I get someone is always hacked my card and im tired of getting a new debit card. there's no update needed so not sure why it just stop working.,3,2025-05-23 14:45:09,Chase,Google Play Store,NEGATIVE,0.999653935432434,certain time use lock unlock option work feature fix m leave matter new card hack card m tired get new debit card update need sure stop work,Other
thk u,5,2025-05-23 10:40:48,Chase,Google Play Store,NEGATIVE,0.8412705063819885,thk u,Other
Good!,5,2025-05-23 10:17:23,Chase,Google Play Store,POSITIVE,0.9998268485069276,good,Other
Inflexible and poor customer service. I find Citibank much more customer focused.,2,2025-05-23 08:43:04,Chase,Google Play Store,NEGATIVE,0.9996490478515624,inflexible poor customer service find citibank customer focus,Customer Support
can't use my card,1,2025-05-23 08:26:05,Chase,Google Play Store,NEGATIVE,0.9969620108604432,use card,Other
"Easy, but I like going into bank to get help",5,2025-05-23 07:58:28,Chase,Google Play Store,NEGATIVE,0.982528567314148,easy like go bank help,Other
The app works when it wants to. It will say that it does not find my username.,2,2025-05-23 06:36:56,Chase,Google Play Store,NEGATIVE,0.9987201690673828,app work want find username,Other
I never have any problems..,5,2025-05-23 06:16:07,Chase,Google Play Store,POSITIVE,0.9994981288909912,problem,Other
easy money,5,2025-05-23 04:12:12,Chase,Google Play Store,POSITIVE,0.61555415391922,easy money,Other
"They got rid of the withdrawals being in red and the deposits being in blue. I have loved that feature of Chase banking online for years and now it's gone. Other than that, no complaints...",3,2025-05-23 04:09:54,Chase,Google Play Store,NEGATIVE,0.993827760219574,get rid withdrawal red deposit blue love feature chase banking online year go complaint,Other
works well as long as I've used it,5,2025-05-23 03:08:37,Chase,Google Play Store,POSITIVE,0.9986774325370787,work long,Other
Great but I would have liked to get it sooner.,4,2025-05-23 02:34:19,Chase,Google Play Store,POSITIVE,0.9672096967697144,great like soon,Other
The app works well for me on the go. Can use as well as the website on PC.,5,2025-05-22 22:07:33,Chase,Google Play Store,POSITIVE,0.9989640712738036,app work use website pc,Other
"The application shows promise, however, enhancements to user-friendliness are recommended, specifically addressing page redundancy. Dark mode implementation is also desired.",4,2025-05-22 21:36:12,Chase,Google Play Store,POSITIVE,0.8437113761901855,application show promise enhancement user friendliness recommend specifically address page redundancy dark mode implementation desire,Other
very good,5,2025-05-22 19:29:21,Chase,Google Play Store,POSITIVE,0.9998520612716676,good,Other
The Chase app makes it simple and convenient to take care of all my banking needs.,5,2025-05-22 19:15:02,Chase,Google Play Store,POSITIVE,0.998854160308838,chase app make simple convenient care banking need,Other
convenient card access by cell phone and vigilant fraud prevention.,5,2025-05-22 19:14:35,Chase,Google Play Store,NEGATIVE,0.7973248958587646,convenient card access cell phone vigilant fraud prevention,Other
great app super fácil de usar,5,2025-05-22 19:04:20,Chase,Google Play Store,POSITIVE,0.9992462396621704,great app super fácil de usar,Other
Simple to understand.,4,2025-05-22 18:23:46,Chase,Google Play Store,POSITIVE,0.9996891021728516,simple understand,Other
Ads while looking at my past purchases? Are you kidding? I'm dropping this bank.,1,2025-05-22 18:06:23,Chase,Google Play Store,NEGATIVE,0.9996187686920166,ad look past purchase kid drop bank,Other
wants too much info.,1,2025-05-22 16:35:08,Chase,Google Play Store,NEGATIVE,0.9997157454490662,want info,Other
The site is very user-friendly and easy to navigate. I'm a new client about 8 months so I'm still in my honeymoon phase.,5,2025-05-22 15:40:07,Chase,Google Play Store,POSITIVE,0.995601773262024,site user friendly easy navigate new client month honeymoon phase,Other
good,5,2025-05-22 13:53:28,Chase,Google Play Store,POSITIVE,0.999816119670868,good,Other
"this bank is so corrupt.& greedy btw. if your account is hacked, they will not reimburse. Don't fall for their credit cards! triple interest have a year!! beware !!!",1,2025-05-22 13:27:44,Chase,Google Play Store,NEGATIVE,0.9966350197792052,bank corrupt greedy btw account hack reimburse fall credit card triple interest year beware,Other
Great hospitality and expedient problem solving.,5,2025-05-22 11:53:19,Chase,Google Play Store,POSITIVE,0.999858856201172,great hospitality expedient problem solve,Other
Banking on the go. Who could ask for more.,5,2025-05-22 11:08:20,Chase,Google Play Store,NEGATIVE,0.9656211733818054,banking ask,Other
AWSOME,5,2025-05-22 10:53:11,Chase,Google Play Store,NEGATIVE,0.9940698146820068,awsome,Other
"if my family members loses her phone or breaks the phone, they could always use the chase mobile app",5,2025-05-22 10:17:42,Chase,Google Play Store,NEGATIVE,0.9992049336433412,family member lose phone break phone use chase mobile app,Other
"Never get there credit card, they will reduce your limit without informing you, destroy your credit no matter payment history is 100%, Discover is Best.",1,2025-05-22 08:54:10,Chase,Google Play Store,POSITIVE,0.9919052124023438,credit card reduce limit inform destroy credit matter payment history discover good,Transaction Performance
so far I've had a good experience,5,2025-05-22 07:21:33,Chase,Google Play Store,POSITIVE,0.9997830986976624,far good experience,Other
I love chase best bank ever!!!,5,2025-05-22 07:07:15,Chase,Google Play Store,POSITIVE,0.9998058676719666,love chase good bank,Other
I don't want any of my information out there,1,2025-05-22 05:41:33,Chase,Google Play Store,NEGATIVE,0.9996964931488036,want information,Other
"it's very , super slow when trying to zelle.",2,2025-05-22 03:14:13,Chase,Google Play Store,NEGATIVE,0.9990911483764648,super slow try zelle,Performance
card issue was sorted quickly,5,2025-05-21 23:01:02,Chase,Google Play Store,NEGATIVE,0.9866722822189332,card issue sort quickly,User Experience
the app doesn't allow you to open unless you continuously update it. I don't have time to keep updating my phone space so I can access my money.,1,2025-05-21 22:32:19,Chase,Google Play Store,NEGATIVE,0.9994101524353028,app allow open continuously update time update phone space access money,Other
too much bs,1,2025-05-21 20:12:42,Chase,Google Play Store,NEGATIVE,0.9992269277572632,bs,Other
excellent service,5,2025-05-21 19:53:24,Chase,Google Play Store,POSITIVE,0.9998576641082764,excellent service,Other
doesn't work on ule fone,1,2025-05-21 18:05:14,Chase,Google Play Store,NEGATIVE,0.9996383190155028,work ule fone,Other
makes everything convenient and easier.,5,2025-05-21 17:30:48,Chase,Google Play Store,POSITIVE,0.996737778186798,make convenient easy,Other
Love all the benefits and rewards.,5,2025-05-21 17:16:29,Chase,Google Play Store,POSITIVE,0.9998915195465088,love benefit reward,Other
love chace,5,2025-05-21 15:44:46,Chase,Google Play Store,POSITIVE,0.999663472175598,love chace,Other
Jp Morgan is a great banking institution. Thank you.,5,2025-05-21 15:40:08,Chase,Google Play Store,POSITIVE,0.999864101409912,jp morgan great banking institution thank,Other
still lots of bugs. limited features in investing part of the app,2,2025-05-21 14:40:28,Chase,Google Play Store,NEGATIVE,0.9974844455718994,lot bug limited feature invest app,Other
does not open on Android 14,1,2025-05-21 13:51:51,Chase,Google Play Store,NEGATIVE,0.9996775388717652,open android,Other
"I'm NEW with Chase and unlike my other two card apps that you can easily make a payment, with this App when you hit card payment it goes to make a payment on other cards. I like paying off my balance before the payment due date, and it seems that this App or Chase doesn't want it's customers to do that 😡 Fix your App.",2,2025-05-21 13:13:09,Chase,Google Play Store,NEGATIVE,0.9954540729522704,new chase unlike card app easily payment app hit card payment go payment card like pay balance payment date app chase want customer fix app,Transaction Performance
"Easy procedure, everything with this account is easy to do business with",5,2025-05-21 11:35:20,Chase,Google Play Store,POSITIVE,0.975679337978363,easy procedure account easy business,Other
great app,5,2025-05-21 10:41:07,Chase,Google Play Store,POSITIVE,0.999821126461029,great app,Other
user friendly,5,2025-05-21 09:24:52,Chase,Google Play Store,POSITIVE,0.977589190006256,user friendly,Other
good,5,2025-05-21 08:06:11,Chase,Google Play Store,POSITIVE,0.999816119670868,good,Other
This is maybe the most useful app I have on my Galaxy a51!!! Can't do without this app!!!!..Also love the Snapshot Questions!!,5,2025-05-21 07:49:48,Chase,Google Play Store,POSITIVE,0.9986199140548706,maybe useful app galaxy love snapshot question,Other
User friendly and great options!,5,2025-05-21 06:21:55,Chase,Google Play Store,POSITIVE,0.999857783317566,user friendly great option,Other
Best,5,2025-05-21 06:17:49,Chase,Google Play Store,POSITIVE,0.9997941851615906,well,Other
"Since latest update, constantly getting red banner that says ""you are not connected to a network"" even though I am and can log in and the app works fine otherwise.",3,2025-05-21 05:23:26,Chase,Google Play Store,NEGATIVE,0.9738485813140868,late update constantly get red banner say connect network log app work fine,Other
I feel safe using it at all times,5,2025-05-21 05:21:11,Chase,Google Play Store,POSITIVE,0.9989629983901978,feel safe time,Other
app is easy to use,5,2025-05-21 04:36:20,Chase,Google Play Store,POSITIVE,0.9976531863212584,app easy use,Other
zelle keeps shutting the app down,3,2025-05-20 22:50:27,Chase,Google Play Store,NEGATIVE,0.9991410970687866,zelle keep shut app,Other
super easy to use and very helpful,5,2025-05-20 22:01:06,Chase,Google Play Store,POSITIVE,0.9996058344841005,super easy use helpful,Other
"best banking app experience so far. While a lot of banking apps are similar these days, chase allows for a lot more benefits and long term credit goals than most. Never stop CHASING the bag!",5,2025-05-20 20:04:37,Chase,Google Play Store,POSITIVE,0.9994810223579408,good banking app experience far lot banking app similar day chase allow lot benefit long term credit goal stop chase bag,Other
Very clean and helpful. The only complaint I have is there are a LOT of features that I'm just never going to use. Not gonna knock the score for it because the most important stuff is front and center. It's a bank app; and thankfully it does that well.,5,2025-05-20 20:02:16,Chase,Google Play Store,POSITIVE,0.9810947179794312,clean helpful complaint lot feature go use go to knock score important stuff center bank app thankfully,Other
"I love it, it's very easy to understan the transaction. :)",5,2025-05-20 16:37:37,Chase,Google Play Store,POSITIVE,0.99978369474411,love easy understan transaction,Other
Great app,5,2025-05-20 16:29:42,Chase,Google Play Store,POSITIVE,0.999821126461029,great app,Other
Annoying in your face banners. Chill out Chase!,1,2025-05-20 15:13:15,Chase,Google Play Store,NEGATIVE,0.999535083770752,annoying face banner chill chase,Other
this app is awesome! it was easy to replace my damaged card..and saves alot of time depositing my checks.,5,2025-05-20 15:09:53,Chase,Google Play Store,POSITIVE,0.998072624206543,app awesome easy replace damage card save alot time deposit check,Other
"Almost every time I try and use the app, it won't let me sign in. Even after I enter my password, have them call me with a code, and then have a picture of my driver's license scanned, it will never confirm I am me. I get the message for me to try again later, only for it to do the same routine. It only let me in when I first started using the app. The app would not let me update any information the few times it granted me access. Not worth the aggravation to use.",1,2025-05-20 15:04:55,Chase,Google Play Store,NEGATIVE,0.999367892742157,time try use app will let sign enter password code picture driver license scan confirm message try later routine let start app app let update information time grant access worth aggravation use,Account Access
fingerprint scanner is not working.,1,2025-05-20 15:01:33,Chase,Google Play Store,NEGATIVE,0.9997805953025818,fingerprint scanner work,Other
nice,5,2025-05-20 13:40:27,Chase,Google Play Store,POSITIVE,0.9998552799224854,nice,Other
love it they are so kind and helpful,5,2025-05-20 12:30:43,Chase,Google Play Store,POSITIVE,0.9998725652694702,love kind helpful,Other
Great bank! Been pleased with it. ❤️,5,2025-05-20 10:28:37,Chase,Google Play Store,POSITIVE,0.9997971653938292,great bank pleased,Other
Great,2,2025-05-20 10:19:01,Chase,Google Play Store,POSITIVE,0.9998630285263062,great,Other
Love it,5,2025-05-20 10:04:35,Chase,Google Play Store,POSITIVE,0.99987530708313,love,Other
功能很好！Usefully!🪖🌐🔗🍚🇹🇼🇺🇸🇭🇰🇸🇬🖇️🦅🦅🦅🦅,4,2025-05-20 09:32:13,Chase,Google Play Store,POSITIVE,0.9917547702789308,,Other
"Where is my refund?! Chase representatives keep telling me different things, my refund is in an email that may or may not actually come from chase, or it's been mailed as a check that never showed up. I asked that it simply be applied to my balance but instead I am told I have to keep waiting for a check supposedly mailed more than a month ago. Chase, you're acting like a scammer. Please help!",1,2025-05-20 09:03:17,Chase,Google Play Store,NEGATIVE,0.9995927214622498,refund chase representative tell different thing refund email actually come chase mail check show ask simply apply balance instead tell wait check supposedly mail month ago chase act like scammer help,Other
good,5,2025-05-20 08:24:55,Chase,Google Play Store,POSITIVE,0.999816119670868,good,Other
love it,5,2025-05-20 01:11:04,Chase,Google Play Store,POSITIVE,0.99987530708313,love,Other
"The hardest app I've ever used... if you need Zelle, go somewhere else. doesn't show the whole account number and if your kid lost a card and your trying to replace it, it only shows last 4 of the card number. how do I know the last 4 of a lost card??? I have 3 kids on here. I have to call my wife back home to check the other kids cards so I can do process of elimination. this is so overwhelming annoying and ridiculous. I wish I could give your app a worse rating.",1,2025-05-19 19:25:49,Chase,Google Play Store,NEGATIVE,0.9996670484542848,hard app need zelle account number kid lose card try replace show card number know lost card kid wife home check kid card process elimination overwhelming annoying ridiculous wish app bad rating,Other
"terrible,they lock your account,have you update & load your phone number & Contact information,lock your account for Supposed Fake suspicious activity,an then wont unlock Said Account because they claim they are unable to verify you because the System wont allow a Call to your phone number in there system,which failed to Properly Store the Entered account Info, After giving you Electronic phone and Email Verification,On the Same Phone Number,they claim that their System doesn't recognize.",1,2025-05-19 19:00:30,Chase,Google Play Store,NEGATIVE,0.9990549683570862,terrible lock account update load phone number contact information lock account suppose fake suspicious activity will not unlock say account claim unable verify system will not allow phone number system fail properly store enter account info give electronic phone email verification phone number claim system recognize,Other
"Overall good, but sometimes things are too hard to find.",3,2025-05-19 18:29:46,Chase,Google Play Store,NEGATIVE,0.9932239055633544,overall good thing hard find,Other
Love chase,5,2025-05-19 17:53:19,Chase,Google Play Store,POSITIVE,0.99983811378479,love chase,Other
Great,5,2025-05-19 17:17:33,Chase,Google Play Store,POSITIVE,0.9998630285263062,great,Other
I work overseas and every time I try to use the card it declines. so I have stopped using it for travel.,2,2025-05-19 17:02:48,Chase,Google Play Store,NEGATIVE,0.999494194984436,work overseas time try use card decline stop travel,Other
"really great at protecting your account, please call them or visit office RIGHT AWAY if unauthorized purchases are found.",4,2025-05-19 16:34:06,Chase,Google Play Store,POSITIVE,0.9943374991416932,great protect account visit office right away unauthorized purchase find,Other
employee decided to do the tip without my consent,1,2025-05-19 15:02:26,Chase,Google Play Store,NEGATIVE,0.995275616645813,employee decide tip consent,Other
could not put in username musvideos4,4,2025-05-19 12:37:44,Chase,Google Play Store,NEGATIVE,0.9975553154945374,username,Other
"I love Chase online banking. it's an easy app. Everything is self-explanatory, also it is convenient",5,2025-05-19 12:32:46,Chase,Google Play Store,POSITIVE,0.99738210439682,love chase online banking easy app self explanatory convenient,Other
I locked my cards and payment still go through..they need to fix that bug,3,2025-05-19 10:56:27,Chase,Google Play Store,NEGATIVE,0.9983516931533812,lock card payment need fix bug,Transaction Performance
so hard to navigate this app i can bever find my account and routing numbers,3,2025-05-19 10:29:17,Chase,Google Play Store,NEGATIVE,0.9993066787719728,hard navigate app bever find account route number,Other
the think I have enjoyed most is the reliability. no issues ever and it always works when I need it to.,5,2025-05-19 07:06:12,Chase,Google Play Store,POSITIVE,0.9994171857833862,think enjoy reliability issue work need,Other
"don't ever get a credit card through chase, unless you don't mind paying over three times the amount of the purchases you make due to incredibly high interest rates that they fail to inform you about on the app!! the interest rate I pay is over 35%...just find a better card because you'll never be able to pay this one off!!",2,2025-05-19 07:00:50,Chase,Google Play Store,NEGATIVE,0.99897962808609,credit card chase mind pay time purchase incredibly high interest rate fail inform app interest rate pay find well card able pay,Other
I cant get it in my phone dont know why,1,2025-05-19 05:33:46,Chase,Google Play Store,NEGATIVE,0.9986891150474548,not phone not know,Other
"Unable to log in. It required password, text contact, biometric registration, and scanning one's driver's license, which is ridiculous since that's more than you'd need to launch a nuclear missile. It won't scan my driver's license after carefully composing the picture as requested, holding the phone as still as a sniper, and adjusting lighting for glare. I wasted nearly an hour trying to log in, then gave up. At this point I'd rather cancel my Chase account than jump through any more hoops.",1,2025-05-19 01:17:04,Chase,Google Play Store,NEGATIVE,0.999566376209259,unable log require password text contact biometric registration scan driver license ridiculous need launch nuclear missile will scan driver license carefully compose picture request hold phone sniper adjust lighting glare waste nearly hour try log give point cancel chase account jump hoop,"User Experience, Account Access"
support is always right 👍👍👍👍👍👍,5,2025-05-18 23:42:41,Chase,Google Play Store,POSITIVE,0.999835968017578,support right,Customer Support
thank you for all your help,5,2025-05-18 15:23:10,Chase,Google Play Store,POSITIVE,0.999832034111023,thank help,Other
"Overall a fantastic app, everything is simple and convenient. Lots of info to browse, security options, and ways to setup notifications. Love it.",5,2025-05-18 14:49:17,Chase,Google Play Store,POSITIVE,0.9998703002929688,overall fantastic app simple convenient lot info browse security option way setup notification love,Other
"This is from 2025, I love the app. It is clearly customer-focused and offers a stress-free and rewarding experience. I've not had to contact customer support when I need to resolve any concern. I'm so happy Chase chooses to provide a customer-first experience.",5,2025-05-18 12:26:22,Chase,Google Play Store,POSITIVE,0.9998112320899964,love app clearly customer focused offer stress free rewarding experience contact customer support need resolve concern happy chase choose provide customer experience,Customer Support
"The ID verification sucks, EVERY single verification app that is used will not read a barcode on a Florida license. It is very frustrating, this is a major reason why I lose access to accounts. Makes me want to close my chase account.",1,2025-05-18 10:52:39,Chase,Google Play Store,NEGATIVE,0.9997203946113586,d verification suck single verification app read barcode florida license frustrating major reason lose access account make want close chase account,Other
"Easy to use. Accurate, quick & handy.",5,2025-05-18 10:50:56,Chase,Google Play Store,POSITIVE,0.9996108412742616,easy use accurate quick handy,User Experience
Check scanning no longer working correctly. Asks to scan both sides twice and gives an error message.,3,2025-05-18 10:46:19,Chase,Google Play Store,NEGATIVE,0.9997181296348572,check scanning long work correctly ask scan side twice give error message,Other
Erroneously thinks I am not connected to a network very frequently.,3,2025-05-18 10:41:50,Chase,Google Play Store,NEGATIVE,0.9996758699417114,erroneously think connect network frequently,Other
Nice banking system,5,2025-05-18 10:21:26,Chase,Google Play Store,POSITIVE,0.9998314380645752,nice banking system,Other
I trust this bank,5,2025-05-18 07:41:30,Chase,Google Play Store,POSITIVE,0.9996515512466432,trust bank,Other
Great job no,5,2025-05-18 03:27:03,Chase,Google Play Store,POSITIVE,0.9941617846488952,great job,Other
love for you,5,2025-05-18 01:36:53,Chase,Google Play Store,POSITIVE,0.9998459815979004,love,Other
nice,5,2025-05-18 01:11:10,Chase,Google Play Store,POSITIVE,0.9998552799224854,nice,Other
Stupid bank. For multiple reasons. I will just say that every time you want to send zelle transfer you need to get text message code and also scan id. Every time! Just move to other banks,1,2025-05-18 00:29:34,Chase,Google Play Store,NEGATIVE,0.9993062019348145,stupid bank multiple reason time want send zelle transfer need text message code scan time bank,Transaction Performance
"not user friendly. gotta keep those fees rolling in. you should invest in a great AI, there are many to choose from. customers could speak in plain language and be replied to same way. ""I started a transfer from my checking account to Robinhood service app from within their app. They say ""go to Chase and approve the transfer."" except it's nowhere to be found, your app AI ""can't quite get what you say."" An hour or more later, with the help of the FANTASTIC Google AI, I have checked EVERYTHING. NI",1,2025-05-17 22:17:00,Chase,Google Play Store,NEGATIVE,0.9978489875793456,user friendly get to fee roll invest great ai choose customer speak plain language reply way start transfer checking account robinhood service app app chase approve transfer find app ai hour later help fantastic google ai check ni,"User Experience, Transaction Performance"
very easy to bank with,5,2025-05-17 17:58:26,Chase,Google Play Store,POSITIVE,0.9989351630210876,easy bank,Other
When will you have a version compatible with the Pixel tablet? I've been waiting for almost 2 years!,2,2025-05-17 14:38:08,Chase,Google Play Store,NEGATIVE,0.9991543292999268,version compatible pixel tablet wait year,Other
easy to use thanks 😊,4,2025-05-17 14:31:10,Chase,Google Play Store,POSITIVE,0.9975106716156006,easy use thank,Other
dont change,1,2025-05-17 11:35:00,Chase,Google Play Store,NEGATIVE,0.9868310689926147,not change,Other
they keep asking me to change my password.,1,2025-05-17 10:36:58,Chase,Google Play Store,NEGATIVE,0.9979140162467957,ask change password,Account Access
Still no dark theme support. It's only been a few years...,1,2025-05-17 08:58:32,Chase,Google Play Store,NEGATIVE,0.9882662892341614,dark theme support year,Customer Support
convenient and easy to use,5,2025-05-17 08:54:23,Chase,Google Play Store,POSITIVE,0.9996602535247804,convenient easy use,Other
very easy an secure,5,2025-05-17 08:30:20,Chase,Google Play Store,POSITIVE,0.9988935589790344,easy secure,Other
+ Great bank to deal with..easy app to navigate..being a veteran- they give free checking with no stipulations..,5,2025-05-17 05:08:35,Chase,Google Play Store,NEGATIVE,0.7788991332054138,great bank deal easy app navigate free checking stipulation,Other
great,5,2025-05-16 17:58:18,Chase,Google Play Store,POSITIVE,0.9998630285263062,great,Other
good bank. Awesome Assistant Manager at my Wells Fargo.,4,2025-06-05 11:48:02,Wells Fargo,Google Play Store,POSITIVE,0.9998611211776732,good bank awesome assistant manager wells fargo,Other
wow... first try! So I'm not completely useless in the internet age. Kool,5,2025-06-05 11:43:47,Wells Fargo,Google Play Store,POSITIVE,0.991141438484192,wow try completely useless internet age kool,Other
"Seems too good to be true, love it!",5,2025-06-05 11:29:16,Wells Fargo,Google Play Store,POSITIVE,0.999874472618103,good true love,Other
"I have banked with Wells Fargo for over 20 years and have always found them to be beyond helpful with any problems that have arisen. Their employees are pleasant, cordial, and extremely helpful when I've used the bank offices.",5,2025-06-05 11:08:22,Wells Fargo,Google Play Store,POSITIVE,0.9986509680747986,bank wells fargo year find helpful problem arise employee pleasant cordial extremely helpful bank office,Other
great service,5,2025-06-05 10:03:55,Wells Fargo,Google Play Store,POSITIVE,0.9998434782028198,great service,Other
know understanding,1,2025-06-05 09:24:27,Wells Fargo,Google Play Store,POSITIVE,0.9995819926261902,know understand,Other
this institution is very dishonest. they will close your account without notice and when you do contact them it's all correspondence through security email and they just simply say they have the right to close your account without any reason. be very skeptical of this company. they are also not accredited by the BBB.,1,2025-06-05 08:50:33,Wells Fargo,Google Play Store,NEGATIVE,0.9996799230575562,institution dishonest close account notice contact correspondence security email simply right close account reason skeptical company accredit bbb,Other
Works pretty gd n easy! luv it!,5,2025-06-05 07:43:30,Wells Fargo,Google Play Store,POSITIVE,0.9983555674552916,work pretty gd n easy luv,Other
very good,5,2025-06-05 07:24:54,Wells Fargo,Google Play Store,POSITIVE,0.9998520612716676,good,Other
Wells Fargo has been my bank for many years 👍,4,2025-06-05 07:20:48,Wells Fargo,Google Play Store,POSITIVE,0.814920961856842,wells fargo bank year,Other
easy and reliable,5,2025-06-05 06:38:08,Wells Fargo,Google Play Store,POSITIVE,0.9998584985733032,easy reliable,Other
muy bueno,5,2025-06-05 05:59:46,Wells Fargo,Google Play Store,NEGATIVE,0.8624677658081055,muy bueno,Other
great app,5,2025-06-05 05:26:08,Wells Fargo,Google Play Store,POSITIVE,0.999821126461029,great app,Other
the convenienceb is immeasurable!!,5,2025-06-04 23:09:04,Wells Fargo,Google Play Store,POSITIVE,0.999091863632202,convenienceb immeasurable,Other
"I absolutely love that my bank (Wells Fargo) uses Zelle so I can send money to anyone, anytime, 24° a day, seven days a week! Thanks, Wells Fargo. 😊",5,2025-06-04 19:47:10,Wells Fargo,Google Play Store,POSITIVE,0.9998024106025696,absolutely love bank wells fargo use zelle send money anytime day seven day week thank wells fargo,Other
"Their app makes things really easy, with Zelle, transferring, and mobile deposits.",5,2025-06-04 18:57:03,Wells Fargo,Google Play Store,POSITIVE,0.9975497126579284,app make thing easy zelle transferring mobile deposit,Transaction Performance
easy peasy.,5,2025-06-04 18:06:48,Wells Fargo,Google Play Store,NEGATIVE,0.9475109577178956,easy peasy,Other
easy to use. different options available over web version.,5,2025-06-04 16:17:04,Wells Fargo,Google Play Store,POSITIVE,0.977299153804779,easy use different option available web version,Other
very easy and quick,5,2025-06-04 15:50:37,Wells Fargo,Google Play Store,POSITIVE,0.9995861649513244,easy quick,User Experience
BEST in the WEST,5,2025-06-04 15:46:41,Wells Fargo,Google Play Store,POSITIVE,0.999795138835907,well west,Other
I've been costumer since 2017 so far so good 👍,5,2025-06-04 15:37:33,Wells Fargo,Google Play Store,POSITIVE,0.9997739195823668,costumer far good,Other
""""" Wells Fargo Bank """" is trash momentariles 'til """" Wells Fargo Bank """" provides free """" Wells Fargo Bank """" applications, navigations orientations ! """" Manice Guillaume Junior "" 8. 7. 1. 3. 1. 4. 1. """"",2,2025-06-04 14:51:42,Wells Fargo,Google Play Store,NEGATIVE,0.9978097081184388,wells fargo bank trash momentarile til wells fargo bank provide free wells fargo bank application navigation orientation manice guillaume junior,User Experience
"I constantly have to change my password, you tell me you don't recognize me",3,2025-06-04 14:04:07,Wells Fargo,Google Play Store,NEGATIVE,0.9996246099472046,constantly change password tell recognize,Account Access
it works,5,2025-06-04 13:26:38,Wells Fargo,Google Play Store,POSITIVE,0.9998537302017212,work,Other
is my back 🔙,5,2025-06-04 13:21:53,Wells Fargo,Google Play Store,NEGATIVE,0.8044100403785706,,Other
people are trying to use the app to send money through zelle but it is coasting money to do it it's coasting alot of money,1,2025-06-04 12:45:29,Wells Fargo,Google Play Store,NEGATIVE,0.9990109205245972,people try use app send money zelle coast money coast alot money,Other
love my wells fargo,5,2025-06-04 11:55:42,Wells Fargo,Google Play Store,POSITIVE,0.999862790107727,love well fargo,Other
accoumt,1,2025-06-04 11:49:59,Wells Fargo,Google Play Store,NEGATIVE,0.884699821472168,accoumt,Other
The app is difficult to load. I would not recommend it to others,1,2025-06-04 11:18:49,Wells Fargo,Google Play Store,NEGATIVE,0.9989047050476074,app difficult load recommend,Other
good,5,2025-06-04 11:08:37,Wells Fargo,Google Play Store,POSITIVE,0.999816119670868,good,Other
